I,set1,set2,set3
1,0.0040190208,0.49984057626397,0.489742834136031,0.545887021239627
2,0.00636971870627962,0.499202017579021,0.489415938303192,0.545151345016188
3,0.0100953238154748,0.496026262242288,0.4875055906935,0.541314238808225
4,0.0160000099908365,0.48070432349112,0.476586482315773,0.521993948233157
5,0.0253583069137866,0.416348243002666,0.421263990683648,0.439597548635971
6,0.040190208,0.249941181786758,0.251304896412605,0.241106389196317
7,0.0636971870627962,0.0853677269219073,0.076934089827916,0.0736702672986384
8,0.100953238154748,0.0226891847092117,0.0182060456424646,0.0186153282864615
9,0.160000099908365,0.00784495290231686,0.00649631000134761,0.00666424253968853
10,0.253583069137866,0.00477195913105866,0.00444358213926281,0.00433069430060325
11,0.40190208,0.00415421822640398,0.00409220111977248,0.00388477843739266
12,0.636971870627962,0.00403077824182773,0.00403229955756833,0.00379992250220286
13,1.00953238154748,0.00400614137165651,0.00402209503176671,0.00378378757120128
14,1.60000099908365,0.00400122537688793,0.00402035684873901,0.0037807200576395
