I,set1,set2,set3
1,0.0040190208,3.75423068068462,4.05171739279377,3.70351571311095
2,0.00636971870627962,3.71378089325513,4.01357321345458,3.67219285294592
3,0.0100953238154748,3.63919991869477,3.93929368016488,3.61062181927783
4,0.0160000099908365,3.50551201386634,3.79869929499836,3.4927269141773
5,0.0253583069137866,3.27756107974734,3.54635426202162,3.27792034055814
6,0.040190208,2.92013001201552,3.13383243448242,2.91976222104775
7,0.0636971870627962,2.42723756765323,2.55252353584916,2.40257739160351
8,0.100953238154748,1.85560278480728,1.88414824022663,1.79209960499152
9,0.160000099908365,1.31185268249151,1.27394276523147,1.22183654649146
10,0.253583069137866,0.883875722182124,0.823510519635158,0.794399801538804
11,0.40190208,0.594516121446189,0.54049019074884,0.523939778207884
12,0.636971870627962,0.41841925420074,0.380258790402472,0.370703689421641
13,1.00953238154748,0.318030992501386,0.294854736922842,0.289272384622443
14,1.60000099908365,0.26292388994665,0.250794313065637,0.247468932056476
